index,title,genre,release_date,ranking,director,cast,budget,runtime,cum_worldwide_gross,combined
0,The Shawshank Redemption ,Drama,14 October 1994,9.3,FrankDarabont,Tim Robbins;Morgan Freeman;Bob Gunton;William Sadler;Clancy Brown;Gil Bellows;Mark Rolston;James Whitmore;Jeffrey DeMunn;Larry Brandenburg;Neil Giuntoli;Brian Libby;David Proval;Joseph Ragno;Jude Ciccolella,25000000.0,142.0,58500000.0,Drama 9.3 FrankDarabont Tim Robbins;Morgan Freeman;Bob Gunton;William Sadler;Clancy Brown;Gil Bellows;Mark Rolston;James Whitmore;Jeffrey DeMunn;Larry Brandenburg;Neil Giuntoli;Brian Libby;David Proval;Joseph Ragno;Jude Ciccolella
1,The Godfather ,"Crime; 
Drama",24 March 1972,9.2,FrancisFordCoppola,Marlon Brando;Al Pacino;James Caan;Richard S. Castellano;Robert Duvall;Sterling Hayden;John Marley;Richard Conte;Al Lettieri;Diane Keaton;Abe Vigoda;Talia Shire;Gianni Russo;John Cazale;Rudy Bond,6000000.0,175.0,245066411.0,"Crime; 
Drama 9.2 FrancisFordCoppola Marlon Brando;Al Pacino;James Caan;Richard S. Castellano;Robert Duvall;Sterling Hayden;John Marley;Richard Conte;Al Lettieri;Diane Keaton;Abe Vigoda;Talia Shire;Gianni Russo;John Cazale;Rudy Bond"
2,The Godfather: Part II ,"Crime; 
Drama",20 December 1974,9.0,FrancisFordCoppola,Al Pacino;Robert Duvall;Diane Keaton;Robert De Niro;John Cazale;Talia Shire;Lee Strasberg;Michael V. Gazzo;G.D. Spradlin;Richard Bright;Gastone Moschin;Tom Rosqui;Bruno Kirby;Frank Sivero;Francesca De Sapio,13000000.0,202.0,,"Crime; 
Drama 9.0 FrancisFordCoppola Al Pacino;Robert Duvall;Diane Keaton;Robert De Niro;John Cazale;Talia Shire;Lee Strasberg;Michael V. Gazzo;G.D. Spradlin;Richard Bright;Gastone Moschin;Tom Rosqui;Bruno Kirby;Frank Sivero;Francesca De Sapio"
3,The Dark Knight ,"Action; 
Crime; 
Drama",18 July 2008,9.0,ChristopherNolan,Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine;Maggie Gyllenhaal;Gary Oldman;Morgan Freeman;Monique Gabriela Curnen;Ron Dean;Cillian Murphy;Chin Han;Nestor Carbonell;Eric Roberts;Ritchie Coster;Anthony Michael Hall,185000000.0,152.0,1004558444.0,"Action; 
Crime; 
Drama 9.0 ChristopherNolan Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine;Maggie Gyllenhaal;Gary Oldman;Morgan Freeman;Monique Gabriela Curnen;Ron Dean;Cillian Murphy;Chin Han;Nestor Carbonell;Eric Roberts;Ritchie Coster;Anthony Michael Hall"
4,12 Angry Men ,Drama,April 1957,8.9,SidneyLumet,Martin Balsam;John Fiedler;Lee J. Cobb;E.G. Marshall;Jack Klugman;Edward Binns;Jack Warden;Henry Fonda;Joseph Sweeney;Ed Begley;George Voskovec;Robert Webber,350000.0,96.0,,Drama 8.9 SidneyLumet Martin Balsam;John Fiedler;Lee J. Cobb;E.G. Marshall;Jack Klugman;Edward Binns;Jack Warden;Henry Fonda;Joseph Sweeney;Ed Begley;George Voskovec;Robert Webber
5,Schindler's List ,,25 December 1993,8.9,StevenSpielberg,Liam Neeson;Ben Kingsley;Ralph Fiennes;Caroline Goodall;Jonathan Sagall;Embeth Davidtz;Malgorzata Gebel;Shmuel Levy;Mark Ivanir;Béatrice Macola;Andrzej Seweryn;Friedrich von Thun;Krzysztof Luft;Harry Nehring;Norbert Weisser,22000000.0,195.0,221000000.0, 8.9 StevenSpielberg Liam Neeson;Ben Kingsley;Ralph Fiennes;Caroline Goodall;Jonathan Sagall;Embeth Davidtz;Malgorzata Gebel;Shmuel Levy;Mark Ivanir;Béatrice Macola;Andrzej Seweryn;Friedrich von Thun;Krzysztof Luft;Harry Nehring;Norbert Weisser
6,The Lord of the Rings: The Return of the King ,"Action; 
Adventure; 
Drama",17 December 2003,8.9,PeterJackson,Noel Appleby;Ali Astin;Sean Astin;David Aston;John Bach;Sean Bean;Cate Blanchett;Orlando Bloom;Billy Boyd;Sadwyn Brophy;Alistair Browning;Marton Csokas;Richard Edge;Jason Fitch;Bernard Hill,94000000.0,201.0,1119929521.0,"Action; 
Adventure; 
Drama 8.9 PeterJackson Noel Appleby;Ali Astin;Sean Astin;David Aston;John Bach;Sean Bean;Cate Blanchett;Orlando Bloom;Billy Boyd;Sadwyn Brophy;Alistair Browning;Marton Csokas;Richard Edge;Jason Fitch;Bernard Hill"
7,Pulp Fiction ,"Crime; 
Drama",14 October 1994,8.9,QuentinTarantino,Tim Roth;Amanda Plummer;Laura Lovelace;John Travolta;Samuel L. Jackson;Phil LaMarr;Frank Whaley;Burr Steers;Bruce Willis;Ving Rhames;Paul Calderon;Bronagh Gallagher;Rosanna Arquette;Eric Stoltz;Uma Thurman,8000000.0,154.0,213928762.0,"Crime; 
Drama 8.9 QuentinTarantino Tim Roth;Amanda Plummer;Laura Lovelace;John Travolta;Samuel L. Jackson;Phil LaMarr;Frank Whaley;Burr Steers;Bruce Willis;Ving Rhames;Paul Calderon;Bronagh Gallagher;Rosanna Arquette;Eric Stoltz;Uma Thurman"
8,"Il buono, il brutto, il cattivo ",,23 December 1966,8.9,SergioLeone,Eli Wallach;Clint Eastwood;Lee Van Cleef;Aldo Giuffrè;Luigi Pistilli;Rada Rassimov;Enzo Petito;Claudio Scarchilli;John Bartha;Livio Lorenzon;Antonio Casale;Sandro Scarchilli;Benito Stefanelli;Angelo Novi;Antonio Casas,1200000.0,161.0,, 8.9 SergioLeone Eli Wallach;Clint Eastwood;Lee Van Cleef;Aldo Giuffrè;Luigi Pistilli;Rada Rassimov;Enzo Petito;Claudio Scarchilli;John Bartha;Livio Lorenzon;Antonio Casale;Sandro Scarchilli;Benito Stefanelli;Angelo Novi;Antonio Casas
9,Fight Club ,Drama,15 October 1999,8.8,DavidFincher,Edward Norton;Brad Pitt;Meat Loaf;Zach Grenier;Richmond Arquette;David Andrews;George Maguire;Eugenie Bondurant;Helena Bonham Carter;Christina Cabot;Sydney 'Big Dawg' Colston;Rachel Singer;Christie Cronenweth;Tim DeZarn;Ezra Buzzington,63000000.0,139.0,71000000.0,Drama 8.8 DavidFincher Edward Norton;Brad Pitt;Meat Loaf;Zach Grenier;Richmond Arquette;David Andrews;George Maguire;Eugenie Bondurant;Helena Bonham Carter;Christina Cabot;Sydney 'Big Dawg' Colston;Rachel Singer;Christie Cronenweth;Tim DeZarn;Ezra Buzzington
